,MSSubClass,MSZoning,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,SC60,RL,8450,4,Lvl,Inside,3,CollgCr,Norm,1Fam,2Story,7,5,2003,2003,Gable,VinylSd,VinylSd,BrkFace,196.0,4,3,PConc,4,3,0,6,706,1,0,150,856,5,Y,SBrkr,856,854,0,1710,1,0,2,1,3,4,8,8,0,Attchd,2003.0,RFn,2,548,3,3,2,0,61,0,0,0,0,Feb,2008,WD,Normal,208500
1,SC20,RL,9600,4,Lvl,FR2,3,Veenker,Feedr,1Fam,1Story,6,8,1976,1976,Gable,MetalSd,MetalSd,None,0.0,3,3,CBlock,4,3,3,5,978,1,0,284,1262,5,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,3,6,8,1,Attchd,1976.0,RFn,2,460,3,3,2,298,0,0,0,0,0,May,2007,WD,Normal,181500
2,SC60,RL,11250,3,Lvl,Inside,3,CollgCr,Norm,1Fam,2Story,7,5,2001,2002,Gable,VinylSd,VinylSd,BrkFace,162.0,4,3,PConc,4,3,1,6,486,1,0,434,920,5,Y,SBrkr,920,866,0,1786,1,0,2,1,3,4,6,8,1,Attchd,2001.0,RFn,2,608,3,3,2,0,42,0,0,0,0,Sep,2008,WD,Normal,223500
3,SC70,RL,9550,3,Lvl,Corner,3,Crawfor,Norm,1Fam,2Story,7,5,1915,1970,Gable,Wd Sdng,Wd Shng,None,0.0,3,3,BrkTil,3,4,0,5,216,1,0,540,756,4,Y,SBrkr,961,756,0,1717,1,0,1,0,3,4,7,8,1,Detchd,1998.0,Unf,3,642,3,3,2,0,35,272,0,0,0,Feb,2006,WD,Abnorml,140000
4,SC60,RL,14260,3,Lvl,FR2,3,NoRidge,Norm,1Fam,2Story,8,5,2000,2000,Gable,VinylSd,VinylSd,BrkFace,350.0,4,3,PConc,4,3,2,6,655,1,0,490,1145,5,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,4,9,8,1,Attchd,2000.0,RFn,3,836,3,3,2,192,84,0,0,0,0,Dec,2008,WD,Normal,250000
5,SC50,RL,14115,3,Lvl,Inside,3,Mitchel,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,VinylSd,VinylSd,None,0.0,3,3,Wood,4,3,0,6,732,1,0,64,796,5,Y,SBrkr,796,566,0,1362,1,0,1,1,1,3,5,8,0,Attchd,1993.0,Unf,2,480,3,3,2,40,30,0,320,0,700,Oct,2009,WD,Normal,143000
6,SC20,RL,10084,4,Lvl,Inside,3,Somerst,Norm,1Fam,1Story,8,5,2004,2005,Gable,VinylSd,VinylSd,Stone,186.0,4,3,PConc,5,3,2,6,1369,1,0,317,1686,5,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,4,7,8,1,Attchd,2004.0,RFn,2,636,3,3,2,255,57,0,0,0,0,Aug,2007,WD,Normal,307000
7,SC60,RL,10382,3,Lvl,Corner,3,NWAmes,PosN,1Fam,2Story,7,6,1973,1973,Gable,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,4,3,1,5,859,4,32,216,1107,5,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,3,7,8,2,Attchd,1973.0,RFn,2,484,3,3,2,235,204,228,0,0,350,Nov,2009,WD,Normal,200000
8,SC50,RM,6120,4,Lvl,Inside,3,OldTown,Artery,1Fam,1.5Fin,7,5,1931,1950,Gable,BrkFace,Wd Shng,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,952,952,4,Y,FuseF,1022,752,0,1774,0,0,2,0,2,3,8,7,2,Detchd,1931.0,Unf,2,468,2,3,2,90,0,205,0,0,0,Apr,2008,WD,Abnorml,129900
9,SC190,RL,7420,4,Lvl,Corner,3,BrkSide,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,0,6,851,1,0,140,991,5,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,3,5,8,2,Attchd,1939.0,RFn,1,205,4,3,2,0,4,0,0,0,0,Jan,2008,WD,Normal,118000
10,SC20,RL,11200,4,Lvl,Inside,3,Sawyer,Norm,1Fam,1Story,5,5,1965,1965,Hip,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,0,3,906,1,0,134,1040,5,Y,SBrkr,1040,0,0,1040,1,0,1,0,3,3,5,8,0,Detchd,1965.0,Unf,1,384,3,3,2,0,0,0,0,0,0,Feb,2008,WD,Normal,129500
11,SC60,RL,11924,3,Lvl,Inside,3,NridgHt,Norm,1Fam,2Story,9,5,2005,2006,Hip,WdShing,Wd Shng,Stone,286.0,5,3,PConc,5,3,0,6,998,1,0,177,1175,5,Y,SBrkr,1182,1142,0,2324,1,0,3,0,4,5,11,8,2,BuiltIn,2005.0,Fin,3,736,3,3,2,147,21,0,0,0,0,Jul,2006,New,Partial,345000
12,SC20,RL,12968,2,Lvl,Inside,3,Sawyer,Norm,1Fam,1Story,5,6,1962,1962,Hip,HdBoard,Plywood,None,0.0,3,3,CBlock,3,3,0,5,737,1,0,175,912,3,Y,SBrkr,912,0,0,912,1,0,1,0,2,3,4,8,0,Detchd,1962.0,Unf,1,352,3,3,2,140,0,0,0,176,0,Sep,2008,WD,Normal,144000
13,SC20,RL,10652,3,Lvl,Inside,3,CollgCr,Norm,1Fam,1Story,7,5,2006,2007,Gable,VinylSd,VinylSd,Stone,306.0,4,3,PConc,4,3,2,1,0,1,0,1494,1494,5,Y,SBrkr,1494,0,0,1494,0,0,2,0,3,4,7,8,1,Attchd,2006.0,RFn,3,840,3,3,2,160,33,0,0,0,0,Aug,2007,New,Partial,279500
14,SC20,RL,10920,3,Lvl,Corner,3,NAmes,Norm,1Fam,1Story,6,5,1960,1960,Hip,MetalSd,MetalSd,BrkFace,212.0,3,3,CBlock,3,3,0,4,733,1,0,520,1253,3,Y,SBrkr,1253,0,0,1253,1,0,1,1,2,3,5,8,1,Attchd,1960.0,RFn,1,352,3,3,2,0,213,176,0,0,0,May,2008,WD,Normal,157000
15,SC45,RM,6120,4,Lvl,Corner,3,BrkSide,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,832,832,5,Y,FuseA,854,0,0,854,0,0,1,0,2,3,5,8,0,Detchd,1991.0,Unf,2,576,3,3,2,48,112,0,0,0,0,Jul,2007,WD,Normal,132000
16,SC20,RL,11241,3,Lvl,CulDSac,3,NAmes,Norm,1Fam,1Story,6,7,1970,1970,Gable,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,0,5,578,1,0,426,1004,5,Y,SBrkr,1004,0,0,1004,1,0,1,0,2,3,5,8,1,Attchd,1970.0,Fin,2,480,3,3,2,0,0,0,0,0,700,Mar,2010,WD,Normal,149000
17,SC90,RL,10791,4,Lvl,Inside,3,Sawyer,Norm,Duplex,1Story,4,5,1967,1967,Gable,MetalSd,MetalSd,None,0.0,3,3,Slab,0,0,0,0,0,0,0,0,0,3,Y,SBrkr,1296,0,0,1296,0,0,2,0,2,3,6,8,0,CarPort,1967.0,Unf,2,516,3,3,2,0,0,0,0,0,500,Oct,2006,WD,Normal,90000
18,SC20,RL,13695,4,Lvl,Inside,3,SawyerW,RRAe,1Fam,1Story,5,5,2004,2004,Gable,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,0,6,646,1,0,468,1114,5,Y,SBrkr,1114,0,0,1114,1,0,1,1,3,4,6,8,0,Detchd,2004.0,Unf,2,576,3,3,2,0,102,0,0,0,0,Jun,2008,WD,Normal,159000
19,SC20,RL,7560,4,Lvl,Inside,3,NAmes,Norm,1Fam,1Story,5,6,1958,1965,Hip,BrkFace,Plywood,None,0.0,3,3,CBlock,3,3,0,2,504,1,0,525,1029,3,Y,SBrkr,1339,0,0,1339,0,0,1,0,3,3,6,7,0,Attchd,1958.0,Unf,1,294,3,3,2,0,0,0,0,0,0,May,2009,COD,Abnorml,139000
20,SC60,RL,14215,3,Lvl,Corner,3,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,380.0,4,3,PConc,5,3,2,1,0,1,0,1158,1158,5,Y,SBrkr,1158,1218,0,2376,0,0,3,1,4,4,9,8,1,BuiltIn,2005.0,RFn,3,853,3,3,2,240,154,0,0,0,0,Nov,2006,New,Partial,325300
21,SC45,RM,7449,4,Bnk,Inside,3,IDOTRR,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,3,3,PConc,3,3,0,1,0,1,0,637,637,5,Y,FuseF,1108,0,0,1108,0,0,1,0,3,4,6,8,1,Attchd,1930.0,Unf,1,280,3,3,0,0,0,205,0,0,0,Jun,2007,WD,Normal,139400
22,SC20,RL,9742,4,Lvl,Inside,3,CollgCr,Norm,1Fam,1Story,8,5,2002,2002,Hip,VinylSd,VinylSd,BrkFace,281.0,4,3,PConc,4,3,0,1,0,1,0,1777,1777,5,Y,SBrkr,1795,0,0,1795,0,0,2,0,3,4,7,8,1,Attchd,2002.0,RFn,2,534,3,3,2,171,159,0,0,0,0,Sep,2008,WD,Normal,230000
23,SC120,RM,4224,4,Lvl,Inside,3,MeadowV,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CemntBd,CmentBd,None,0.0,3,3,PConc,4,3,0,6,840,1,0,200,1040,3,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,3,6,8,1,Attchd,1976.0,Unf,2,572,3,3,2,100,110,0,0,0,0,Jun,2007,WD,Normal,129900
24,SC20,RL,8246,3,Lvl,Inside,3,Sawyer,Norm,1Fam,1Story,5,8,1968,2001,Gable,Plywood,Plywood,None,0.0,3,4,CBlock,3,3,1,3,188,5,668,204,1060,5,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,4,6,8,1,Attchd,1968.0,Unf,1,270,3,3,2,406,90,0,0,0,0,May,2010,WD,Normal,154000
25,SC20,RL,14230,4,Lvl,Corner,3,NridgHt,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,Stone,640.0,4,3,PConc,4,3,0,1,0,1,0,1566,1566,5,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,4,7,8,1,Attchd,2007.0,RFn,3,890,3,3,2,0,56,0,0,0,0,Jul,2009,WD,Normal,256300
26,SC20,RL,7200,4,Lvl,Corner,3,NAmes,Norm,1Fam,1Story,5,7,1951,2000,Gable,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,4,234,3,486,180,900,3,Y,SBrkr,900,0,0,900,0,1,1,0,3,4,5,8,0,Detchd,2005.0,Unf,2,576,3,3,2,222,32,0,0,0,0,May,2010,WD,Normal,134800
